member_name,video_id,video_title,analyzed
강경숙,F3ITwEvLpns,역사 교과서 허술한 검정 절차 지적하는 강경숙,False
강민국,Qo5yKpp-pkY,"&quot;강민국, 명태균에 어떤 도움??&quot; 발언에 국감장 발칵...&quot;저 자극하지 마세요&quot; #정진욱",False
강선영,A4m4FQJhlg0,"강선영, 음악이 흘러나오자 무아지경 막춤 #강선영의원 #김문수 #국민의힘 #shorts",False
강선우,SPdaof6xZyk,💥선거 유세 중 폭행당했다는 강선우 의원.. 욕설에 폭행에… 우리 의원들 경호 부탁드립니다.,False
강훈식,Bi24-XGDOEc,"스포츠해설가 박문성, 이재명을 지지하는 이유 “혐오로는 세상 바꿀 수 없어!” #박문성 #이재명 #진짜대한민국 #지금은이재명",False
고동진,hd4wwDVtomY,고동진 국회의원의 이전 직업은? #5자토크 #shorts,False
고민정,-OMG6ZvvXhk,고민정 의원 깨닫는 게 좀 있을까? #이재명 #고민정 #선거유세 #서영교 #임명직 #국회의원 #선출직,False
구자근,Yj1kqGnbJ2c,&quot;민주당 무도하다&quot;는 국민의힘 구자근 의원 [오늘의 이슈],False
권성동,dD-kt2gLOVs,[뉴스 &#39;꾹&#39;] &quot;김문수만은 절대 용납 못..&quot; 권성동도 &#39;아차차&#39; 급사과 (2025.06.01/MBC뉴스),False
권영진,UAxqnqClqPs,권영진 “부정투표 걱정하지 마세요!”,False
김건,fjNfLu8fJwg,Kim Gun (김건) - 이별하는 방법을 몰라서  (Don&#39;t know how to say Goodbye) (Prod. LINK MUSIC (링크뮤직)) [가사],False
김교흥,Py24KdfMLI4,한 가정의 가장 김교흥...그가 국민의힘에게 호통 친 사연! #김교흥 #국민의힘 #호통,False
김기현,xBmiFb0Y4Zc,[메가스터디] 수학 김기현쌤 - [깜짝 공개] 기현쌤의 쉬는시간!,False
김남희,kKEyC_aH21k,아니 이게 다 같은 사람? 김남희 필모 ㄷㄷ,False
김도읍,2M0cc0A_yZc,김남국 &quot;이 사람아!&quot; vs 김도읍 &quot;이 사람이라니&quot;,False
김동아,8wvSaVQaADY,가요무대 - 와우정사 - 김동아.20181231,False
김문수,-7dhmynOICc,"이재명vs김문수vs이준석, 소름돋는 실제 시민 반응. 여론조작은 진짜인가..?",False
김민석,QRI4w47z2Zg,"[오연호가 묻다] 김민석의 D-3 예측 “살길 찾는 이준석, 6월3일 새벽 5시50분에 ‘방탄 단일화’ 한다”...“이재명 득표, 최종 여론조사보다 더 기대”",False
김병주,lLVsPIm6wzI,김병주 호통 &quot;군 선배로서 참담해&quot; 정회후 따라온 사단장에게.. #김병주,False
김상욱,6PgOvogJJxs,"울산 환영에 감동한 김상욱...머리 숙이더니, &#39;울컥&#39;",False
김상훈,4YSEgRJJYwM,메가는 나의 운명,False
김선교,6ExWJ7VyHwc,[주일예배] 나라를 위한 기도(견제의 유익) / 김선교 선교사,False
김성환,e-yxgHVvpWA,김성환 - 인생 (가요베스트 2015),False
김성회,omZITA4PrOM,"로스트아크 O육완자 사태, 푸줏간 잘못은 없나",False
김소희,GHAP2qHqhNw,[#김소희레시피] 세븐틴 입맛 저격한 비엔나 최고의 한식 셰프🩷 김소희 셰프의 김치 수박 스테이크ㅣ냉장고를 부탁해ㅣJTBC 250525 방송,False
김승수,ChtgLDJv5L4,"“와 힘들어!” 김승수, 허당미 뽐내며 제자리 포복↗",False
김영호,rPivuqjktus,리박스쿨 ‘자손군’ 국정조사 추진...분노 폭발한 김영호 “늘봄 교사가 댓글공작 조직원?”,False
김영환,WDjtkxfNDRk,"#shorts 김영환 지사, 올레 의원 의형제 맺다",False
김예지,-JXbogoYETY,[1회] 김예지 - 골목길 | 블라인드 오디션 | 보이스 코리아 2020,False
김용만,BCm6qVMDZuY,바쁜 김용만 의원 이재명 대통령 후보 도착 전 #shorts #이재명 #김용만 #대통령 #대선 #선거 #top #best #gorgeous #경찰,False
김용태,7o_fhb4k0DQ,김용태 &quot;尹 사실상 출당…국힘 근처에 얼씬도 마시길&quot; / 연합뉴스TV (YonhapnewsTV),False
김우영,1VQnQtStYf0,"[뉴스트라다무스] 김우영 &quot;이 XX, 법관 출신 주제에&quot; 신지호, 김태규에게 특급 꿀팁 전수!?",False
김위상,eUViPf3TVZQ,"[🔴라이브를 켜라] 안철수·김은혜·김위상 의원, 유시민 &#39;설난영 발언&#39; 관련 긴급 기자회견 / 채널A",False
김장겸,L4MqQGn0xsw,"[자막뉴스] 김장겸 MBC 사장 해임...노조, 제한적 업무 복귀 / YTN",False
김재섭,eOVBI36EslM,김재섭 &quot;가운데손가락 든 이준석만 보이는 상황됐다&quot;...이준석은 공세 계속 &quot;문제 제기한 저에게 혐오 낙인&quot;｜지금 이 뉴스,False
김재원,-Rhqb7c2rAY,실제로 강령술을 해봤습니다,False
김정재,Ga_tWI58Gss,이재명 총알도 아깝다고 막말한 김정재 의원 과거,False
김정호,mLc5FHrVTP0,김정호 - 하얀나비 (Live),False
김종민,Z1p49x7K4vk,[선공개] 김종민 vs 박보검 소싸움 펜싱 대결🐮🤺의 승자는?!  [1박 2일 시즌4/Two Days and One Night 4] | KBS 방송,False
김종양,iemuCcw6IhY,"#김종양 일타강사, 역사를 배우는 이유? 실패를 ??하기 위해서",False
김준형,FyGZgo8tw10,"트럼프의 주한미군 감축, 대선 판 흔들까? 김준형 &quot;이재명 대통령? 김문수 대통령? 트럼프에겐 꽃놀이패”",False
김태선,9H-r0MGt4B4,[🔵현장영상] 이재명 후보 in 울산 동구! 김태선 의원과 함께하는 울산 동구 유세 현장!,False
김태호,K66wN5HJWdo,패치 후 제발 이 덱만 하시면됩니다..챌린저가 알려주는 현 메타 티어 덱 리스트 및 운영 디테일  【롤토체스 강의】,False
김현정,864973697c4,"6/2(월) 국민의힘, 댓글조작 DNA(우상호) 이재명 공포 독재(나경원) 이준석, 결승선 통과(천하람) 이재명, 한동훈(↑)vs 국민의힘, 유시민(↓)(김근식·박원석)",False
김희정,Q0Ac0qAzztA,김희정 &quot;지가 도둑놈인지 몰라요&quot; [티조Clip],False
나경원,MdJX6hCf0VE,"[속보] 나경원 &quot;이재명, 당선시 카스트 제도 만들 것&quot; [대선현장] / 채널A",False
